2o. Agrupamento;3o. Agrupamento;Recurso;Descrição;Matéria Prima;Compr;Largu;Quant;Etapa Seguinte;carreta
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23528;REGULADOR VARÃO DE TRAVA    CBHM 2 EIXOS;023504 - CHAPA DE REGULAGEM VARÃO DE TRAVA   CBHM 2 EIXOS;;;2;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;23620;VARÃO DA TRAVA   (M12) CBH;023632 - TUBO DO TIRANTE DA TRAVA   (M12) CBH;;;2;Sem Processo;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;60 Conjuntos ACESSORIOS;443785;PINO ENG C/ARRUELA ICAM (M98) FA;"212300 - ARRUELA LISA 27MM POL. CHAPA 3/16""";;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Cx Acessórios;70 Sistemas ACESSORIOS;30691;ACESSÓRIO  CS   (M17) CBH;"212301 - ARR. DE PRES. MÉDIA - ZB 1/2""";;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Forjaria;70 Sistemas Carretas;460825;FEIXE DE MOLAS 14 LAMINAS [CBHM/FA/F6];260826 - BUCHA FLUTUANTE PARA FEIXE DE MOLAS;;;2;S Pintura;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;032389LC;CAÇAMBA COMPLETA UG LARANJA [CBH5 M21];028844 - PINO DA TAMPA TRASEIRA [CBH];;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;460722;EIXO COMPLETO CS [CBHM5000];222148 - CONTRA PINO  3/16 X 1.1/2;;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Sist Carr;70 Sistemas Carretas;30638;CHASSI COMPLETO CS [CBHM 5000 M17];"274252 - PORCA SEX    5/16""  UNC  ZB";;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;70 Sistemas Carretas;032433CO;ENGATE COMPLETO SS CINZA [CBH/CBHM];033738CO - ENGATE SIMPLES SS CINZA [CBH/CBHM];;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;030383CO;MACACO COMPLETO CINZA [CBHM M17];030383 - MACACO COMPLETO [CBHM M17];;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;034550CO;CILINDRO HIDRÁULICO CINZA [CBH5/CBHM5000];034550 - CILINDRO HIDRÁULICO [CBH5/CBHM5000];;;1;S Mont Conjuntos Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;460825;FEIXE DE MOLAS 14 LAMINAS [CBHM/FA/F6];318417 - TINTA PÓ 26 R LI CINZA FUMAÇA EMA 022 167;;;2;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Pintura- Embalar Prod;70 Sistemas Carretas;460722CO;EIXO COMPLETO CS CINZA [CBHM5000];460722 - EIXO COMPLETO CS [CBHM5000];;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Expedição;Carretas Basculantes hidráulicas;CBH5 UG CS RD P750(I) M21;Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos;030638 - CHASSI COMPLETO CS [CBHM 5000 M17];;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Sist Carr;Conjuntos Carretas;30383;MACACO COMPLETO [CBHM M17];030789 - CORRENTE 180MM - MACACO M17;;;1;S Pintura;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;Conjuntos Carretas;25553;EIXO SIMPLES CS [CBHM5000];025547 - CORPO DO EIXO CBH/CBHM5000...10000 (NOV13...);;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30637;CHASSI SIMPLES CS [CBHM 5000 M17];030316 - REFORÇO DO SUPORTE DIANT M17 CHASSI CBHM/CBH;;;1;S Pintura;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;Conjuntos Carretas;32470;CHASSI DA CAÇAMBA [CBH5,0 M21];030334 - LONGARINA DA PLATAFORMA M17    CBHM;;;1;S Mont Sistemas Carretas;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
GMS Mont Conj Carr;Conjuntos Carretas;30389;BASE MÓVEL DO MACACO [CBHM M17];030387 - BASE MÓVEL M17 BASE MÓVEL CBHM/CBH;;;2;S Pintura;CBH5 UG CS RD P750(I) M21 - Carreta Hidráulica 5t (3m3) RD de 1 Eixo - USO GERAL - C/ MOLAS + PNEUS - Freios não incluídos
